,compound,preverb,simplex
309,ἀναπλέω,ἀνά,πλέω
310,ἀναπληρόω,ἀνά,πληρόω
311,ἀναπνέω,ἀνά,πνέω
312,ἀναποδίζω,ἀνά,ποδίζω
313,ἀναπολέω,ἀνά,πολέω
314,ἀναπολίζω,ἀνά,πολίζω
315,ἀναπράσσω,ἀνά,πράσσω
316,ἀναπρήθω,ἀνά,πρήθω
317,ἀναπτερόω,ἀνά,πτερόω
318,ἀναπτοέω,ἀνά,πτοέω
319,ἀναπτύσσω,ἀνά,πτύσσω
320,ἀναπτύω,ἀνά,πτύω
321,ἀναπυνθάνομαι,ἀνά,πυνθάνομαι
322,ἀναθάλλω,ἀνά,θάλλω
323,ἀναθαρσέω,ἀνά,θαρσέω
324,ἀναθαρσύνω,ἀνά,θαρσύνω
325,ἀναθερμαίνω,ἀνά,θερμαίνω
326,ἀναθηλέω,ἀνά,θηλέω
327,ἀναθλίβω,ἀνά,θλίβω
328,ἀναθορυβέω,ἀνά,θορυβέω
329,ἀναθρώσκω,ἀνά,θρώσκω
330,ἀναθύω2,ἀνά,θύω1
331,ἀναθύω1,ἀνά,θύω2
332,ἀναθυμιάω,ἀνά,θυμιάω
333,ἀναρρήγνυμι,ἀνά,ῥήγνυμι
334,ἀναρρίπτω,ἀνά,ῥίπτω
335,ἀναρριχάομαι,ἀνά,ῥιχάομαι
336,ἀναρροιβδέω,ἀνά,ῥοιβδέω
337,ἀναρρώννυμι,ἀνά,ῥώννυμι
338,ἀνασαλεύω,ἀνά,σαλεύω
339,ἀνασείω,ἀνά,σείω
340,ἀνασειράζω,ἀνά,σειράζω
341,ἀνασεύομαι,ἀνά,σεύω
342,ἀνασφάλλω,ἀνά,σφάλλω
343,ἀνασκάπτω,ἀνά,σκάπτω
344,ἀνασκεδάννυμι,ἀνά,σκεδάννυμι
345,ἀνασκευάζω,ἀνά,σκευάζω
346,ἀνασκολοπίζω,ἀνά,σκολοπίζω
347,ἀνασκοπέω,ἀνά,σκοπέω
348,ἀνασοβέω,ἀνά,σοβέω
